Pixel,Red,Green,Blue,Mean Intensity
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.028169014084507043,0.009389671361502348
26,0.0,0.0,0.028169014084507043,0.009389671361502348
27,0.0,0.0,2.8028169014084505,0.9342723004694835
28,0.0,0.0,2.8028169014084505,0.9342723004694835
29,0.0,0.04225352112676056,5.859154929577465,1.967136150234742
30,0.0,0.04225352112676056,5.859154929577465,1.967136150234742
31,0.0,0.09154929577464789,7.47887323943662,2.523474178403756
32,0.0,0.09154929577464789,7.47887323943662,2.523474178403756
33,0.0,0.176056338028169,7.056338028169014,2.4107981220657275
34,0.0,0.176056338028169,7.056338028169014,2.4107981220657275
35,0.0,0.14084507042253522,8.56338028169014,2.9014084507042255
36,0.0,0.14084507042253522,8.56338028169014,2.9014084507042255
37,0.0,0.04929577464788732,19.816901408450704,6.622065727699531
38,0.0,0.04929577464788732,19.816901408450704,6.622065727699531
39,0.0,0.014084507042253521,38.816901408450704,12.943661971830986
40,0.0,0.014084507042253521,38.816901408450704,12.943661971830986
41,0.0,0.035211267605633804,51.429577464788736,17.154929577464788
42,0.0,0.035211267605633804,51.429577464788736,17.154929577464788
43,0.0,0.02112676056338028,48.443661971830984,16.154929577464788
44,0.0,0.02112676056338028,48.443661971830984,16.154929577464788
45,0.0,0.02112676056338028,32.436619718309856,10.81924882629108
46,0.0,0.02112676056338028,32.436619718309856,10.81924882629108
47,0.0,0.08450704225352113,13.830985915492958,4.63849765258216
48,0.0,0.08450704225352113,13.830985915492958,4.63849765258216
49,0.0,0.19014084507042253,3.408450704225352,1.1995305164319248
50,0.0,0.19014084507042253,3.408450704225352,1.1995305164319248
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
