Pixel,Red,Green,Blue,Mean Intensity
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.005988023952095809,0.11377245508982035,0.0,0.03992015968063872
44,0.005988023952095809,0.11377245508982035,0.0,0.03992015968063872
45,1.4311377245508983,0.08982035928143713,0.0,0.5069860279441117
46,1.437125748502994,0.09580838323353294,0.0,0.5109780439121757
47,5.730538922155689,0.281437125748503,0.0,2.003992015968064
48,7.491017964071856,1.6766467065868262,0.0,3.0558882235528944
49,14.676646706586826,2.562874251497006,0.0,5.746506986027945
50,16.97005988023952,4.796407185628743,0.0,7.2554890219560875
51,23.904191616766468,6.323353293413174,0.0,10.075848303393213
52,26.18562874251497,8.51497005988024,0.0,11.566866267465072
53,32.24550898203593,10.377245508982035,0.0,14.207584830339322
54,34.17964071856287,12.317365269461078,0.0,15.499001996007983
55,37.24550898203593,13.131736526946108,0.0,16.79241516966068
56,37.82035928143713,13.844311377245509,0.0,17.221556886227546
57,37.8562874251497,13.754491017964073,0.0,17.20359281437126
58,37.0059880239521,13.047904191616766,0.0,16.684630738522955
59,35.383233532934135,11.640718562874252,0.0,15.674650698602795
60,33.880239520958085,10.467065868263473,0.0,14.78243512974052
61,31.694610778443113,8.89820359281437,0.0,13.530938123752493
62,29.65868263473054,7.131736526946108,0.0,12.263473053892215
