Pixel,Red,Green,Blue,Mean Intensity
0,77.92857142857143,125.33928571428571,213.03571428571428,138.76785714285714
1,79.48214285714286,126.66071428571429,213.41071428571428,139.85119047619045
2,76.42857142857143,130.26785714285714,212.23214285714286,139.64285714285714
3,77.64285714285714,131.35714285714286,212.25,140.41666666666666
4,73.89285714285714,134.55357142857142,210.375,139.60714285714286
5,75.39285714285714,136.10714285714286,211.23214285714286,140.9107142857143
6,72.64285714285714,139.03571428571428,209.67857142857142,140.45238095238093
7,73.96428571428571,140.5,210.44642857142858,141.63690476190476
8,71.71428571428571,144.625,209.08928571428572,141.80952380952382
9,72.71428571428571,145.78571428571428,209.48214285714286,142.66071428571428
10,68.69642857142857,149.73214285714286,208.53571428571428,142.32142857142856
11,69.66071428571429,150.85714285714286,208.80357142857142,143.10714285714286
12,66.30357142857143,154.76785714285714,207.39285714285714,142.82142857142856
13,67.75,156.16071428571428,208.05357142857142,143.98809523809524
14,64.48214285714286,159.30357142857142,206.03571428571428,143.27380952380952
15,66.0,160.89285714285714,206.78571428571428,144.55952380952382
16,64.16071428571429,163.35714285714286,205.17857142857142,144.23214285714286
17,65.41071428571429,164.51785714285714,205.66071428571428,145.19642857142856
18,64.67857142857143,167.44642857142858,204.41071428571428,145.5119047619048
19,65.23214285714286,167.83928571428572,204.625,145.89880952380955
20,64.19642857142857,170.33928571428572,202.03571428571428,145.52380952380952
21,65.44642857142857,171.64285714285714,202.82142857142858,146.6369047619048
22,64.125,173.46428571428572,200.0,145.86309523809524
23,65.66071428571429,174.96428571428572,201.21428571428572,147.2797619047619
24,66.57142857142857,176.66071428571428,199.35714285714286,147.5297619047619
25,67.28571428571429,177.32142857142858,199.98214285714286,148.19642857142858
26,66.625,178.83928571428572,198.73214285714286,148.0654761904762
27,67.21428571428571,179.39285714285714,199.14285714285714,148.58333333333334
28,67.25,181.89285714285714,198.875,149.3392857142857
29,68.19642857142857,182.58928571428572,199.26785714285714,150.01785714285714
30,67.21428571428571,184.58928571428572,198.28571428571428,150.0297619047619
31,68.28571428571429,185.64285714285714,199.19642857142858,151.04166666666666
32,67.375,187.30357142857142,197.625,150.76785714285714
33,68.5,188.41071428571428,198.66071428571428,151.85714285714286
34,67.17857142857143,189.91071428571428,198.14285714285714,151.74404761904762
35,68.25,190.91071428571428,198.83928571428572,152.66666666666666
36,68.75,192.53571428571428,197.98214285714286,153.08928571428572
37,69.92857142857143,193.42857142857142,198.85714285714286,154.07142857142856
38,70.46428571428571,194.85714285714286,198.96428571428572,154.7619047619048
39,71.25,195.44642857142858,199.51785714285714,155.4047619047619
40,71.73214285714286,197.17857142857142,199.375,156.0952380952381
41,73.07142857142857,198.30357142857142,200.55357142857142,157.30952380952382
42,73.625,199.21428571428572,199.51785714285714,157.45238095238093
43,74.53571428571429,199.875,200.10714285714286,158.17261904761907
44,75.26785714285714,201.66071428571428,199.01785714285714,158.64880952380952
45,76.32142857142857,202.53571428571428,199.94642857142858,159.60119047619048
46,77.75,204.5,197.91071428571428,160.05357142857142
47,78.44642857142857,204.98214285714286,198.41071428571428,160.6130952380952
48,79.375,205.96428571428572,197.46428571428572,160.93452380952382
49,80.17857142857143,206.78571428571428,198.28571428571428,161.75
50,81.69642857142857,207.71428571428572,198.0,162.4702380952381
51,82.35714285714286,208.05357142857142,198.39285714285714,162.93452380952382
52,84.21428571428571,208.53571428571428,197.21428571428572,163.32142857142858
53,85.375,209.32142857142858,198.14285714285714,164.2797619047619
54,88.41071428571429,210.66071428571428,196.57142857142858,165.21428571428572
55,89.28571428571429,211.07142857142858,197.07142857142858,165.80952380952382
56,91.23214285714286,212.10714285714286,195.375,166.23809523809527
57,91.69642857142857,212.48214285714286,195.78571428571428,166.6547619047619
58,93.03571428571429,214.23214285714286,194.625,167.29761904761904
59,93.75,214.66071428571428,195.21428571428572,167.875
60,95.46428571428571,215.42857142857142,193.57142857142858,168.1547619047619
61,96.17857142857143,215.83928571428572,194.16071428571428,168.72619047619048
62,99.82142857142857,216.67857142857142,191.91071428571428,169.47023809523807
63,100.92857142857143,217.35714285714286,192.875,170.3869047619048
64,103.96428571428571,217.78571428571428,191.41071428571428,171.05357142857142
65,104.82142857142857,218.21428571428572,192.03571428571428,171.69047619047618
66,108.875,218.80357142857142,189.48214285714286,172.3869047619048
67,110.01785714285714,219.35714285714286,190.28571428571428,173.2202380952381
68,114.73214285714286,220.71428571428572,188.5,174.64880952380955
69,114.875,220.76785714285714,188.58928571428572,174.74404761904762
70,119.23214285714286,221.41071428571428,186.25,175.63095238095238
71,119.73214285714286,221.35714285714286,186.625,175.90476190476193
72,123.05357142857143,222.23214285714286,184.03571428571428,176.44047619047618
73,124.25,222.98214285714286,185.21428571428572,177.48214285714286
74,127.83928571428571,224.03571428571428,182.08928571428572,177.98809523809527
75,128.39285714285714,224.10714285714286,182.58928571428572,178.36309523809527
76,132.08928571428572,224.82142857142858,180.41071428571428,179.10714285714286
77,132.78571428571428,225.25,181.10714285714286,179.7142857142857
78,136.10714285714286,225.55357142857142,178.82142857142858,180.1607142857143
79,136.91071428571428,226.125,179.625,180.88690476190473
80,141.57142857142858,226.60714285714286,175.78571428571428,181.32142857142858
81,142.125,226.94642857142858,176.33928571428572,181.80357142857144
82,145.53571428571428,227.14285714285714,175.01785714285714,182.56547619047618
83,146.01785714285714,227.48214285714286,175.46428571428572,182.98809523809527
84,148.5,228.26785714285714,174.46428571428572,183.74404761904762
85,149.10714285714286,228.71428571428572,175.07142857142858,184.29761904761904
86,149.82142857142858,229.10714285714286,173.19642857142858,184.04166666666666
87,150.19642857142858,229.28571428571428,173.57142857142858,184.35119047619048
88,150.17857142857142,229.66071428571428,170.75,183.52976190476193
89,150.55357142857142,230.17857142857142,171.125,183.95238095238096
90,150.21428571428572,231.01785714285714,169.85714285714286,183.69642857142856
91,150.48214285714286,231.21428571428572,170.125,183.94047619047623
92,148.85714285714286,232.03571428571428,169.03571428571428,183.30952380952377
93,148.80357142857142,232.19642857142858,168.98214285714286,183.32738095238096
94,146.17857142857142,233.625,167.58928571428572,182.4642857142857
95,145.71428571428572,233.48214285714286,167.125,182.10714285714286
96,142.17857142857142,234.66071428571428,164.83928571428572,180.55952380952377
97,142.125,234.73214285714286,164.78571428571428,180.54761904761904
98,138.28571428571428,235.96428571428572,163.33928571428572,179.19642857142858
99,137.85714285714286,235.98214285714286,162.91071428571428,178.91666666666666
100,134.01785714285714,236.67857142857142,161.26785714285714,177.32142857142856
101,133.96428571428572,237.01785714285714,161.21428571428572,177.39880952380952
102,132.28571428571428,238.01785714285714,160.75,177.01785714285714
103,131.71428571428572,237.96428571428572,160.17857142857142,176.61904761904762
104,128.28571428571428,238.14285714285714,157.39285714285714,174.60714285714286
105,128.23214285714286,238.5,157.33928571428572,174.69047619047618
106,125.21428571428571,238.92857142857142,152.78571428571428,172.30952380952382
107,124.75,239.17857142857142,152.32142857142858,172.08333333333334
108,122.51785714285714,239.67857142857142,147.21428571428572,169.80357142857144
109,121.98214285714286,239.71428571428572,146.67857142857142,169.45833333333334
110,120.125,240.19642857142858,142.83928571428572,167.7202380952381
111,120.03571428571429,240.375,142.75,167.7202380952381
112,117.91071428571429,240.96428571428572,137.92857142857142,165.60119047619048
113,117.64285714285714,241.07142857142858,137.66071428571428,165.45833333333334
114,116.19642857142857,241.0,132.0,163.06547619047618
